cluster_name;cluster_short
Cultural, social & aesthetic values;Cultural-social
Bio-production;Bio-production
Quality of living;QoL
Habitat & Biodiversity;Biodiversity
Water cycle related services;Water cycle
Recreation & Tourism;Rec & Tourism
Wild food harvest;Wild food
Climate service;climate
